"Created on","2026-06-07 14:39:32"
"Created with","Scrutiny V0.12.1"
"Device ID","d6fc71528a231663b87e7b30bcac7d95"
"Firmware ID","d6fc71528a231663b87e7b30bcac7d95"
"Project name","NanoGaN-SW V0.1"

"","","var:/global/fCurrent/fCurrent[0]","var:/global/fCurrent/fCurrent[1]","var:/global/fCurrent/fCurrent[2]","var:/global/uDTC/uDTC[0]","var:/global/uDTC/uDTC[1]","var:/global/uDTC/uDTC[2]","var:/global/fDcVoltage",""
"Datetime","Time [s]","fCurrent[0]","fCurrent[1]","fCurrent[2]","uDTC[0]","uDTC[1]","uDTC[2]","fDcVoltage","New Values"
"2026-06-07 14:39:19",0.00113,-0.0390625,-0.0390625,0.01953125,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00114,-0.0390625,0.0,0.0390625,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00115,-0.0390625,-0.01953125,-0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00116,-0.01953125,-0.0390625,-0.01953125,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00117,-0.01953125,-0.05859375,0.01953125,1374.0,1374.0,1374.0,12.455696105957031,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00118,-0.01953125,-0.0390625,0.01953125,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00119,-0.0390625,-0.0390625,0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.0012,-0.01953125,-0.0390625,0.0,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00121,-0.01953125,-0.05859375,0.01953125,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00122,-0.01953125,0.0,0.0,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00123,-0.0390625,-0.0390625,0.0390625,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00124,-0.01953125,-0.05859375,0.0,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00125,-0.0390625,-0.0390625,0.01953125,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00126,-0.0,-0.05859375,0.0,1374.0,1374.0,1374.0,12.455696105957031,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00127,-0.0,-0.05859375,0.01953125,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00128,-0.01953125,0.0,0.078125,1374.0,1374.0,1374.0,12.455696105957031,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00129,-0.01953125,-0.0390625,0.01953125,1374.0,1374.0,1374.0,12.501265525817871,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.0013,-0.0,0.0,0.0,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00131,-0.0,-0.05859375,-0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00132,-0.05859375,-0.05859375,-0.01953125,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00133,-0.01953125,-0.0390625,0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00134,-0.0390625,-0.01953125,0.0390625,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00135,-0.0390625,-0.01953125,0.0390625,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00136,-0.01953125,-0.01953125,0.0390625,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00137,-0.0,0.0,0.0,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00138,-0.01953125,-0.01953125,0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00139,-0.0390625,-0.01953125,-0.01953125,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.0014,-0.05859375,-0.0390625,0.0,1374.0,1374.0,1374.0,12.501265525817871,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00141,-0.01953125,-0.0390625,0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00142,-0.01953125,0.0,0.01953125,1374.0,1374.0,1374.0,12.501265525817871,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00143,-0.0390625,0.0,0.01953125,1374.0,1374.0,1374.0,12.455696105957031,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00144,-0.0390625,-0.01953125,0.05859375,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00145,-0.01953125,0.01953125,0.0390625,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00146,-0.0390625,0.0,0.01953125,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00147,-0.01953125,0.0,0.01953125,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00148,-0.0390625,-0.01953125,0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00149,-0.01953125,-0.0390625,0.0390625,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.0015,-0.01953125,-0.0390625,0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00151,-0.0390625,-0.0390625,0.0390625,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00152,-0.01953125,0.01953125,-0.01953125,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00153,-0.0390625,0.0390625,-0.01953125,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00154,-0.0390625,-0.01953125,0.0,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00155,-0.0390625,0.0,0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00156,-0.0390625,0.01953125,-0.01953125,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00157,-0.01953125,-0.01953125,0.0,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00158,0.01953125,0.0,0.0,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
